r,l,t
40.0,1577,8.301304578781128
140.0,1359,10.773281812667847
100.0,1319,12.76575231552124
100.0,1514,15.186220407485962
60.0,1525,17.537686824798584
60.0,1660,20.396363735198975
160.0,1567,22.747462511062622
140.0,1768,29.539509773254395
