l,t
1000,6.279673337936401
2000,9.057260990142822
3000,10.867354393005371
4000,12.266236066818237
5000,13.813261985778809
6000,15.511385440826416
7000,16.92568063735962
8000,18.526659965515137
9000,20.462980031967163
10000,21.8655002117157
11000,23.418905019760132
12000,24.805010557174683
13000,37.37456679344177
